Trait,Gender,FastTextCommonCrawl,FastTextWikiNews,,,,,,,,,,,,,,,,
decisive,M,15555,9954,,,,,,,,,,,,,,,,
demanding,M,7096,8611,,,,,,,,,,,,,,,,
dependable,M,19626,45120,,,,,,,,,,,,,,,,
determined,M,2393,2629,,,,,,,,,,,,,,,,
disciplined,M,20708,23814,,,,,,,,,,,,,,,,
disorderly,M,41181,40110,,,,,,,,,,,,,,,,
dominant,M,7050,5232,,,,,,,,,,,,,,,,
enterprising,M,43704,48478,,,,,,,,,,,,,,,,
forceful,M,32076,29856,,,,,,,,,,,,,,,,
greedy,M,17598,25078,,,,,,,,,,,,,,,,
hardhearted,M,544211,1001369,,,,,,,,,,,,,,,,
hardworking,M,29616,45240,,,,,,,,,,,,,,,,
humorous,M,12933,10329,,,,,,,,,,,,,,,,
independent,M,1678,676,,,,,,,,,,,,,,,,
indifferent,M,24073,24928,,,,,,,,,,,,,,,,
individualistic,M,60113,56496,,,,,,,,,,,,,,,,
initiative,M,5292,3932,,,,,,,,,,,,,,,,
innovative,M,3642,6686,,,,,,,,,,,,,,,,
intense,M,4647,6251,,,,,,,,,,,,,,,,
interests wide,M,2240527,2759897,,,,,,,,,,,,,,,,
inventive,M,20570,28102,,,,,,,,,,,,,,,,
jealous,M,10161,12243,,,,,,,,,,,,,,,,
lazy,M,6999,12633,,,,,,,,,,,,,,,,
leader,M,1637,950,,,,,,,,,,,,,,,,
level-headed,M,76210,3475405,,,,,,,,,,,,,,,,
logical,M,6367,6450,,,,,,,,,,,,,,,,
loud,M,4649,8662,,,,,,,,,,,,,,,,
masculine,M,16395,8903,,,,,,,,,,,,,,,,
muscular,M,15537,16435,,,,,,,,,,,,,,,,
obnoxious,M,23123,28301,,,,,,,,,,,,,,,,
opinionated,M,41489,36569,,,,,,,,,,,,,,,,
opportunistic,M,36337,34429,,,,,,,,,,,,,,,,
pleasure-seeking,M,325748,3805905,,,,,,,,,,,,,,,,
possessive,M,44807,25300,,,,,,,,,,,,,,,,
precise,M,6600,7031,,,,,,,,,,,,,,,,
progressive,M,6417,3436,,,,,,,,,,,,,,,,
promiscuous,M,52450,41839,,,,,,,,,,,,,,,,
proud,M,2436,7648,,,,,,,,,,,,,,,,
quick,M,1309,3171,,,,,,,,,,,,,,,,
rational,M,8994,7637,,,,,,,,,,,,,,,,
realistic,M,6128,9192,,,,,,,,,,,,,,,,
rebellious,M,26138,19638,,,,,,,,,,,,,,,,
reckless,M,18102,18612,,,,,,,,,,,,,,,,
resourceful,M,35053,46579,,,,,,,,,,,,,,,,
rigid,M,12317,11650,,,,,,,,,,,,,,,,
robust,M,7562,12098,,,,,,,,,,,,,,,,
self-confident,M,81985,3555440,,,,,,,,,,,,,,,,
self-reliant,M,71051,2590711,,,,,,,,,,,,,,,,
self-righteous,M,52003,4427914,,,,,,,,,,,,,,,,
self-sufficient,M,36274,2783052,,,,,,,,,,,,,,,,
selfish,M,12520,21808,,,,,,,,,,,,,,,,
serious,M,1448,2022,,,,,,,,,,,,,,,,
sharp-witted,M,289071,4169649,,,,,,,,,,,,,,,,
show-off,M,128524,4357482,,,,,,,,,,,,,,,,
solemn,M,27213,23442,,,,,,,,,,,,,,,,
solid,M,2046,1508,,,,,,,,,,,,,,,,
steady,M,6544,8613,,,,,,,,,,,,,,,,
stern,M,20223,6968,,,,,,,,,,,,,,,,
stingy,M,54604,87322,,,,,,,,,,,,,,,,
stolid,M,166361,181666,,,,,,,,,,,,,,,,
strong,M,835,847,,,,,,,,,,,,,,,,
stubborn,M,16586,22952,,,,,,,,,,,,,,,,
sturdy,M,10868,29083,,,,,,,,,,,,,,,,
tall,M,3923,3856,,,,,,,,,,,,,,,,
tough,M,2654,6934,,,,,,,,,,,,,,,,
unfriendly,M,40019,40673,,,,,,,,,,,,,,,,
unscrupulous,M,39666,39716,,,,,,,,,,,,,,,,
well-built,M,78715,3525894,,,,,,,,,,,,,,,,
witty,M,16869,22353,,,,,,,,,,,,,,,,
